customer_id,restrictive_measure_status,measure_type,enhanced_monitoring_flag,onboarding_restriction_flag,escalation_required_flag,last_measure_review_date
CUST_0049,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2025-10-19
CUST_0050,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2024-02-28
CUST_0051,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2025-02-21
CUST_0052,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2025-02-19
CUST_0053,APPLIED,ENHANCED_MONITORING,YES,NO,NO,2024-03-31
CUST_0054,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2024-12-20
CUST_0055,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2024-09-27
CUST_0056,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2026-01-26
CUST_0057,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2024-03-19
CUST_0058,APPLIED,NONE,YES,YES,YES,2026-04-19
CUST_0059,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2025-09-24
CUST_0060,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2024-10-10
CUST_0061,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-01-10
CUST_0062,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2026-04-24
CUST_0063,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2026-04-01
CUST_0064,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2025-10-17
CUST_0065,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,YES,2024-10-20
CUST_0066,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2024-02-29
CUST_0067,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2025-06-22
CUST_0068,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-12-05
CUST_0069,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-01-12
CUST_0070,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-05-20
CUST_0071,APPLIED,ONBOARDING_RESTRICTION,YES,YES,NO,2024-04-21
CUST_0072,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2025-08-09
CUST_0073,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2026-05-07
CUST_0074,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2026-05-02
CUST_0075,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-05-08
CUST_0076,NOT_APPLIED,NONE,NO,NO,NO,2026-02-18
CUST_0077,APPLIED,COMPLIANCE_ESCALATION,YES,NO,NO,2024-09-13
CUST_0078,APPLIED,ONBOARDING_RESTRICTION,YES,NO,NO,2025-05-03
CUST_0079,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2025-03-09
CUST_0080,APPLIED,ONBOARDING_RESTRICTION,YES,YES,NO,2025-07-12
CUST_0081,APPLIED,COMPLIANCE_ESCALATION,YES,YES,NO,2025-10-07
CUST_0082,NOT_APPLIED,NONE,NO,NO,NO,2024-01-02
CUST_0083,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2025-02-02
CUST_0084,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-02-09
CUST_0085,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2024-12-01
CUST_0086,APPLIED,COMPLIANCE_ESCALATION,YES,YES,NO,2024-11-15
CUST_0087,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-12-22
CUST_0088,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2026-03-30
CUST_0089,APPLIED,COMPLIANCE_ESCALATION,YES,NO,NO,2025-08-14
CUST_0090,NOT_APPLIED,NONE,NO,NO,NO,2025-07-23
CUST_0091,APPLIED,ONBOARDING_RESTRICTION,YES,NO,NO,2024-10-16
CUST_0092,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2025-03-04
CUST_0093,APPLIED,TRANSACTION_LIMITATION,NO,NO,YES,2026-01-01
CUST_0094,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2024-03-25
CUST_0095,NOT_APPLIED,NONE,NO,NO,NO,2026-02-01
CUST_0096,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2025-06-12
CUST_0097,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2025-07-17
CUST_0098,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-10-06
CUST_0099,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2024-11-06
CUST_0100,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2024-06-07
CUST_0101,APPLIED,COMPLIANCE_ESCALATION,YES,YES,NO,2025-07-27
CUST_0102,APPLIED,TRANSACTION_LIMITATION,NO,YES,NO,2025-01-14
CUST_0103,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2024-02-22
CUST_0104,APPLIED,COMPLIANCE_ESCALATION,YES,YES,NO,2024-03-14
CUST_0105,NOT_APPLIED,NONE,NO,NO,NO,2024-04-01
CUST_0106,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2024-01-25
CUST_0107,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2025-07-20
CUST_0108,APPLIED,NONE,YES,NO,YES,2024-11-12
CUST_0109,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2024-09-25
CUST_0110,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2024-10-08
CUST_0111,APPLIED,ONBOARDING_RESTRICTION,YES,YES,NO,2024-03-22
CUST_0112,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2025-07-02
CUST_0113,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2025-04-06
CUST_0114,APPLIED,ONBOARDING_RESTRICTION,YES,NO,NO,2025-08-07
CUST_0115,NOT_APPLIED,NONE,NO,NO,NO,2025-12-14
CUST_0116,APPLIED,NONE,YES,YES,NO,2024-07-30
CUST_0117,APPLIED,ONBOARDING_RESTRICTION,NO,YES,NO,2025-02-19
CUST_0118,APPLIED,COMPLIANCE_ESCALATION,YES,NO,NO,2025-05-28
CUST_0119,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-12-06
CUST_0120,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-07-25
CUST_0121,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2024-07-27
CUST_0122,APPLIED,COMPLIANCE_ESCALATION,YES,NO,NO,2025-12-28
CUST_0123,APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2024-11-09
CUST_0124,NOT_APPLIED,NONE,NO,NO,NO,2024-03-15
CUST_0125,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2025-09-16
CUST_0126,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-01-28
CUST_0127,APPLIED,NONE,NO,NO,NO,2025-10-30
CUST_0128,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2024-09-19
CUST_0129,NOT_APPLIED,NONE,NO,NO,NO,2024-02-02
CUST_0130,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2026-03-08
CUST_0131,APPLIED,COMPLIANCE_ESCALATION,YES,YES,NO,2024-10-30
CUST_0132,NOT_APPLIED,NONE,NO,NO,NO,2026-03-26
CUST_0133,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-12-03
CUST_0134,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2026-03-22
CUST_0135,APPLIED,ENHANCED_MONITORING,YES,NO,NO,2025-06-27
CUST_0136,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-07-15
CUST_0137,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-06-09
CUST_0138,APPLIED,COMPLIANCE_ESCALATION,YES,YES,NO,2024-07-09
CUST_0139,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2026-02-06
CUST_0140,APPLIED,TRANSACTION_LIMITATION,YES,YES,NO,2026-02-22
CUST_0141,APPLIED,NONE,YES,YES,NO,2025-10-31
CUST_0142,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2026-04-23
CUST_0143,APPLIED,NONE,YES,YES,NO,2025-10-20
CUST_0144,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-03-30
CUST_0145,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-07-22
CUST_0146,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2025-02-25
CUST_0147,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2024-05-07
CUST_0148,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2024-10-19
CUST_0149,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2026-03-28
CUST_0150,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2025-05-25
CUST_0151,APPLIED,ENHANCED_MONITORING,YES,NO,NO,2024-08-05
CUST_0152,NOT_APPLIED,NONE,NO,NO,NO,2025-03-24
CUST_0153,APPLIED,ENHANCED_MONITORING,NO,NO,NO,2024-10-30
CUST_0154,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2026-03-05
CUST_0155,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2024-12-12
CUST_0156,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-10-16
CUST_0157,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2024-11-25
CUST_0158,APPLIED,ENHANCED_MONITORING,YES,YES,NO,2025-02-06
CUST_0159,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2024-05-29
CUST_0160,APPLIED,COMPLIANCE_ESCALATION,YES,YES,NO,2025-10-14
CUST_0161,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2024-12-28
CUST_0162,APPLIED,COMPLIANCE_ESCALATION,YES,NO,NO,2025-10-14
CUST_0163,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2024-05-27
CUST_0164,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2024-08-07
CUST_0165,APPLIED,NONE,YES,NO,NO,2024-07-15
CUST_0166,APPLIED,NONE,YES,YES,NO,2024-08-13
CUST_0167,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2025-09-01
CUST_0168,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2025-02-16
CUST_0169,APPLIED,NONE,YES,YES,NO,2024-04-23
CUST_0170,APPLIED,TRANSACTION_LIMITATION,YES,YES,NO,2025-12-14
CUST_0171,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-11-06
CUST_0172,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2025-03-24
CUST_0173,APPLIED,ONBOARDING_RESTRICTION,YES,NO,NO,2024-11-23
CUST_0174,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2024-03-06
CUST_0175,NOT_APPLIED,NONE,NO,NO,NO,2025-09-06
CUST_0176,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-05-01
CUST_0177,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2024-04-30
CUST_0178,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2024-06-06
CUST_0179,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2026-02-07
CUST_0180,NOT_APPLIED,NONE,NO,NO,NO,2024-11-23
CUST_0181,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-10-02
CUST_0182,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2025-03-22
CUST_0183,NOT_APPLIED,NONE,NO,NO,NO,2024-01-26
CUST_0184,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2024-05-02
CUST_0185,APPLIED,ONBOARDING_RESTRICTION,YES,YES,NO,2025-08-18
CUST_0186,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-05-27
CUST_0187,NOT_APPLIED,NONE,NO,NO,NO,2025-11-14
CUST_0188,APPLIED,TRANSACTION_LIMITATION,YES,YES,NO,2024-05-27
CUST_0189,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2024-09-21
CUST_0190,APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2026-04-24
CUST_0191,NOT_APPLIED,NONE,NO,NO,NO,2024-10-29
CUST_0192,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2025-10-07
CUST_0193,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-08-27
CUST_0194,APPLIED,NONE,YES,NO,NO,2025-01-24
CUST_0195,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-03-03
CUST_0196,NOT_APPLIED,NONE,NO,NO,NO,2026-01-16
CUST_0197,APPLIED,TRANSACTION_LIMITATION,YES,YES,NO,2026-04-14
CUST_0198,APPLIED,NONE,NO,NO,NO,2024-12-15
CUST_0199,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2025-11-25
CUST_0200,APPLIED,NONE,YES,NO,NO,2026-05-03
CUST_0201,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2024-02-11
CUST_0202,NOT_APPLIED,NONE,NO,NO,NO,2025-06-26
CUST_0203,APPLIED,ONBOARDING_RESTRICTION,YES,NO,NO,2025-03-17
CUST_0204,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2025-05-15
CUST_0205,APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2025-01-10
CUST_0206,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-03-25
CUST_0207,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2026-01-05
CUST_0208,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2024-11-10
CUST_0209,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2025-07-08
CUST_0210,APPLIED,ENHANCED_MONITORING,YES,YES,NO,2024-07-16
CUST_0211,APPLIED,COMPLIANCE_ESCALATION,YES,YES,NO,2025-09-12
CUST_0212,APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-03-18
CUST_0213,NOT_APPLIED,NONE,NO,NO,NO,2025-08-23
CUST_0214,APPLIED,COMPLIANCE_ESCALATION,YES,NO,NO,2026-03-14
CUST_0215,APPLIED,NONE,YES,NO,NO,2025-01-09
CUST_0216,APPLIED,ENHANCED_MONITORING,YES,NO,NO,2025-07-14
CUST_0217,NOT_APPLIED,NONE,NO,NO,NO,2025-03-17
CUST_0218,APPLIED,ENHANCED_MONITORING,YES,NO,NO,2024-07-25
CUST_0219,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2024-01-10
CUST_0220,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2024-11-25
CUST_0221,NOT_APPLIED,NONE,NO,NO,NO,2026-01-13
CUST_0222,APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2025-12-02
CUST_0223,NOT_APPLIED,NONE,NO,NO,NO,2024-08-19
CUST_0224,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2025-03-26
CUST_0225,APPLIED,COMPLIANCE_ESCALATION,YES,NO,NO,2024-03-16
CUST_0226,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-01-15
CUST_0227,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2025-06-01
CUST_0228,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-07-30
CUST_0229,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-07-10
CUST_0230,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-02-26
CUST_0231,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2025-07-20
CUST_0232,APPLIED,ONBOARDING_RESTRICTION,YES,YES,NO,2025-06-06
CUST_0233,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-09-16
CUST_0234,NOT_APPLIED,NONE,NO,NO,NO,2026-02-18
CUST_0235,APPLIED,NONE,YES,YES,NO,2026-02-07
CUST_0236,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,YES,2024-11-28
CUST_0237,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2026-01-05
CUST_0238,NOT_APPLIED,NONE,NO,NO,NO,2024-11-15
CUST_0239,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2025-01-01
CUST_0240,APPLIED,ENHANCED_MONITORING,YES,NO,NO,2025-09-20
CUST_0241,NOT_APPLIED,NONE,NO,NO,NO,2026-04-14
CUST_0242,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2025-12-17
CUST_0243,APPLIED,COMPLIANCE_ESCALATION,YES,NO,NO,2024-05-11
CUST_0244,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2026-04-24
CUST_0245,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-01-29
CUST_0246,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2025-01-23
CUST_0247,APPLIED,COMPLIANCE_ESCALATION,YES,YES,NO,2025-06-08
CUST_0248,APPLIED,NONE,YES,NO,NO,2026-04-01
CUST_0249,APPLIED,ONBOARDING_RESTRICTION,YES,NO,NO,2025-08-18
CUST_0250,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2025-05-03
