training_id,communication_id,country,region,business_area,target_population,critical_area_flag,training_name,training_status,completion_rate,training_deadline,communication_topic,communication_date,acknowledgement_status,acknowledgement_due_date,onboarding_involved_flag,last_training_completion_date
TRN_0018,COM_0018,Turkey,EMEA,Customer Onboarding,63,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.47,2026-05-21,AML Lifecycle Transformation Update,2026-05-03,ACKNOWLEDGED,2026-05-12,YES,2024-09-05
TRN_0019,COM_0019,Morocco,Africa,Compliance,353,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.59,2026-05-19,AML Lifecycle Transformation Update,2025-12-26,ACKNOWLEDGED,2026-04-11,NO,2024-01-15
TRN_0020,COM_0020,Mexico,North America,Retail Banking,243,NO,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.49,2026-06-07,AML Lifecycle Transformation Update,2026-03-19,NOT_ACKNOWLEDGED,2026-05-18,YES,2024-05-09
TRN_0021,COM_0021,Argentina,South America,Operations,227,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.71,2026-05-07,AML Lifecycle Transformation Update,2026-04-27,ACKNOWLEDGED,2026-05-21,NO,2025-08-08
TRN_0022,COM_0022,Spain,Europe,Operations,108,YES,AML Customer Lifecycle Standard Training,COMPLETED,0.98,2026-08-07,AML Lifecycle Transformation Update,2025-11-19,ACKNOWLEDGED,2026-04-03,NO,2026-03-06
TRN_0023,COM_0023,UAE,Middle East,Engineering,371,NO,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.9,2026-04-16,AML Lifecycle Transformation Update,2025-10-25,ACKNOWLEDGED,2026-03-28,NO,2025-08-19
TRN_0024,COM_0024,Argentina,South America,Corporate Banking,384,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.66,2026-05-31,AML Lifecycle Transformation Update,2026-05-11,ACKNOWLEDGED,2026-03-25,YES,2026-02-07
TRN_0025,COM_0025,Mexico,North America,Retail Banking,126,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.78,2026-04-01,AML Lifecycle Transformation Update,2026-03-11,ACKNOWLEDGED,2026-05-29,YES,2024-01-12
TRN_0026,COM_0026,Peru,South America,Corporate Banking,317,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.79,2026-05-29,AML Lifecycle Transformation Update,2026-05-12,ACKNOWLEDGED,2026-04-02,YES,2025-11-23
TRN_0027,COM_0027,Panama,Central America,Customer Onboarding,65,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.65,2026-05-02,AML Lifecycle Transformation Update,2026-02-18,NOT_ACKNOWLEDGED,2026-04-17,YES,2024-02-17
TRN_0028,COM_0028,Spain,Europe,Retail Banking,167,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.8,2026-03-04,AML Lifecycle Transformation Update,2026-03-12,ACKNOWLEDGED,2026-03-31,YES,2025-11-01
TRN_0029,COM_0029,Spain,Europe,Corporate Banking,127,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.81,2026-05-18,AML Lifecycle Transformation Update,2026-04-10,NOT_ACKNOWLEDGED,2026-05-04,YES,2024-03-29
TRN_0030,COM_0030,Panama,Central America,Operations,298,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.78,2026-03-28,AML Lifecycle Transformation Update,2026-04-11,ACKNOWLEDGED,2026-03-25,NO,2025-08-16
TRN_0031,COM_0031,Colombia,South America,Customer Onboarding,31,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.74,2026-04-26,AML Lifecycle Transformation Update,2026-01-26,ACKNOWLEDGED,2026-04-27,YES,2026-03-09
TRN_0032,COM_0032,Colombia,South America,Operations,200,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.62,2026-05-11,AML Lifecycle Transformation Update,2026-05-20,ACKNOWLEDGED,2026-04-08,NO,2024-12-06
TRN_0033,COM_0033,Switzerland,Europe,Engineering,33,NO,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.53,2026-05-10,AML Lifecycle Transformation Update,2026-02-10,ACKNOWLEDGED,2026-05-14,NO,2025-12-01
TRN_0034,COM_0034,Switzerland,Europe,Corporate Banking,104,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.43,2026-03-23,AML Lifecycle Transformation Update,2026-01-28,NOT_ACKNOWLEDGED,2026-04-09,YES,2026-04-30
TRN_0035,COM_0035,Mexico,North America,Risk,348,NO,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.92,2026-06-06,AML Lifecycle Transformation Update,2026-01-25,ACKNOWLEDGED,2026-06-07,NO,2025-02-04
TRN_0036,COM_0036,Peru,South America,Risk,325,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.5,2026-05-28,AML Lifecycle Transformation Update,2025-10-25,ACKNOWLEDGED,2026-06-08,NO,2026-01-10
TRN_0037,COM_0037,Switzerland,Europe,Operations,313,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.37,2026-05-24,AML Lifecycle Transformation Update,2026-04-08,ACKNOWLEDGED,2026-04-06,NO,2025-09-13
TRN_0038,COM_0038,Turkey,EMEA,Engineering,263,NO,AML Customer Lifecycle Standard Training,COMPLETED,0.95,2026-09-02,AML Lifecycle Transformation Update,2026-04-17,ACKNOWLEDGED,2026-04-26,NO,2024-11-21
TRN_0039,COM_0039,Switzerland,Europe,Corporate Banking,474,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.46,2026-03-05,AML Lifecycle Transformation Update,2026-04-26,NOT_ACKNOWLEDGED,2026-05-30,YES,2024-07-01
TRN_0040,COM_0040,Spain,Europe,Engineering,400,NO,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.56,2026-04-25,AML Lifecycle Transformation Update,2026-01-11,ACKNOWLEDGED,2026-04-29,NO,2025-12-31
TRN_0041,COM_0041,Mexico,North America,Corporate Banking,369,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.9,2026-05-29,AML Lifecycle Transformation Update,2025-11-24,ACKNOWLEDGED,2026-04-24,YES,2024-05-29
TRN_0042,COM_0042,Spain,Europe,Risk,32,NO,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.75,2026-06-14,AML Lifecycle Transformation Update,2026-02-28,ACKNOWLEDGED,2026-04-20,NO,2025-09-11
TRN_0043,COM_0043,Mexico,North America,Compliance,223,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.52,2026-06-01,AML Lifecycle Transformation Update,2025-12-29,ACKNOWLEDGED,2026-04-18,NO,2025-06-24
TRN_0044,COM_0044,Argentina,South America,Engineering,146,NO,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.71,2026-05-20,AML Lifecycle Transformation Update,2025-12-20,ACKNOWLEDGED,2026-06-02,NO,2024-04-27
TRN_0045,COM_0045,Peru,South America,Engineering,256,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.71,2026-03-18,AML Lifecycle Transformation Update,2025-12-12,ACKNOWLEDGED,2026-06-01,NO,2025-11-11
TRN_0046,COM_0046,Peru,South America,Customer Onboarding,31,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.64,2026-04-09,AML Lifecycle Transformation Update,2025-11-28,ACKNOWLEDGED,2026-05-20,YES,2025-07-11
TRN_0047,COM_0047,Colombia,South America,Engineering,441,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.73,2026-05-15,AML Lifecycle Transformation Update,2026-03-19,ACKNOWLEDGED,2026-04-06,NO,2026-02-07
TRN_0048,COM_0048,Colombia,South America,Corporate Banking,23,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.73,2026-03-14,AML Lifecycle Transformation Update,2026-01-03,ACKNOWLEDGED,2026-05-12,YES,2025-08-11
TRN_0049,COM_0049,Morocco,Africa,Risk,140,NO,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.39,2026-03-04,AML Lifecycle Transformation Update,2025-11-04,ACKNOWLEDGED,2026-05-07,NO,2025-09-06
TRN_0050,COM_0050,Mexico,North America,Customer Onboarding,193,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.77,2026-05-06,AML Lifecycle Transformation Update,2025-12-13,ACKNOWLEDGED,2026-04-16,YES,2025-07-29
TRN_0051,COM_0051,Morocco,Africa,Operations,401,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.46,2026-03-14,AML Lifecycle Transformation Update,2025-12-21,ACKNOWLEDGED,2026-04-30,NO,2026-03-29
TRN_0052,COM_0052,Mexico,North America,Customer Onboarding,467,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.43,2026-03-15,AML Lifecycle Transformation Update,2025-12-22,NOT_ACKNOWLEDGED,2026-03-23,YES,2025-05-15
TRN_0053,COM_0053,Turkey,EMEA,Corporate Banking,434,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.91,2026-04-20,AML Lifecycle Transformation Update,2026-03-03,ACKNOWLEDGED,2026-03-25,YES,2025-10-24
TRN_0054,COM_0054,Morocco,Africa,Risk,225,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.72,2026-03-09,AML Lifecycle Transformation Update,2025-10-29,NOT_ACKNOWLEDGED,2026-05-04,NO,2026-05-12
TRN_0055,COM_0055,UAE,Middle East,Risk,250,NO,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.22,2026-06-07,AML Lifecycle Transformation Update,2026-05-19,ACKNOWLEDGED,2026-04-18,NO,2026-01-11
TRN_0056,COM_0056,Colombia,South America,Engineering,204,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.36,2026-04-26,AML Lifecycle Transformation Update,2025-11-21,NOT_ACKNOWLEDGED,2026-05-05,NO,2024-10-21
TRN_0057,COM_0057,Colombia,South America,Risk,127,NO,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.78,2026-06-11,AML Lifecycle Transformation Update,2026-04-02,NOT_ACKNOWLEDGED,2026-04-20,NO,2025-10-12
TRN_0058,COM_0058,Argentina,South America,Risk,139,NO,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.64,2026-05-01,AML Lifecycle Transformation Update,2025-11-12,NOT_ACKNOWLEDGED,2026-05-29,NO,2025-04-30
TRN_0059,COM_0059,Spain,Europe,Retail Banking,74,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.83,2026-05-04,AML Lifecycle Transformation Update,2026-02-09,NOT_ACKNOWLEDGED,2026-04-22,YES,2025-05-16
TRN_0060,COM_0060,Morocco,Africa,Operations,410,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.72,2026-02-19,AML Lifecycle Transformation Update,2025-11-19,ACKNOWLEDGED,2026-04-19,NO,2024-03-22
TRN_0061,COM_0061,UAE,Middle East,Retail Banking,265,NO,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.47,2026-03-28,AML Lifecycle Transformation Update,2026-04-20,ACKNOWLEDGED,2026-05-03,YES,2025-04-26
TRN_0062,COM_0062,Turkey,EMEA,Retail Banking,165,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.42,2026-03-26,AML Lifecycle Transformation Update,2026-05-17,ACKNOWLEDGED,2026-05-18,YES,2025-06-09
TRN_0063,COM_0063,Colombia,South America,Customer Onboarding,233,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.85,2026-05-21,AML Lifecycle Transformation Update,2025-10-30,ACKNOWLEDGED,2026-05-28,YES,2025-07-02
TRN_0064,COM_0064,Argentina,South America,Retail Banking,387,NO,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.61,2026-05-21,AML Lifecycle Transformation Update,2025-10-21,NOT_ACKNOWLEDGED,2026-05-09,YES,2026-02-26
TRN_0065,COM_0065,Panama,Central America,Operations,220,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.86,2026-02-27,AML Lifecycle Transformation Update,2025-11-10,NOT_ACKNOWLEDGED,2026-05-13,NO,2024-10-02
TRN_0066,COM_0066,Argentina,South America,Operations,298,YES,AML Customer Lifecycle Standard Training,COMPLETED,0.98,2026-09-02,AML Lifecycle Transformation Update,2026-01-01,ACKNOWLEDGED,2026-04-23,NO,2026-03-12
TRN_0067,COM_0067,Panama,Central America,Retail Banking,415,NO,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.69,2026-04-12,AML Lifecycle Transformation Update,2026-03-16,ACKNOWLEDGED,2026-05-31,YES,2025-11-04
TRN_0068,COM_0068,Morocco,Africa,Operations,198,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.57,2026-05-14,AML Lifecycle Transformation Update,2026-04-15,ACKNOWLEDGED,2026-04-08,NO,2024-06-28
TRN_0069,COM_0069,Argentina,South America,Corporate Banking,288,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.56,2026-04-12,AML Lifecycle Transformation Update,2026-05-25,ACKNOWLEDGED,2026-03-21,YES,2024-12-06
TRN_0070,COM_0070,Peru,South America,Operations,343,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.91,2026-03-08,AML Lifecycle Transformation Update,2025-12-12,ACKNOWLEDGED,2026-05-13,NO,2025-01-25
