customer_id,expected_aml_rating,assigned_aml_rating,last_rating_review_date
CUST_0086,HIGH,HIGH,2024-04-19
CUST_0087,MEDIUM,MEDIUM,2026-02-11
CUST_0088,LOW,LOW,2024-07-09
CUST_0089,HIGH,HIGH,2025-11-22
CUST_0090,LOW,LOW,2024-03-31
CUST_0091,MEDIUM,MEDIUM,2024-12-27
CUST_0092,MEDIUM,MEDIUM,2024-09-29
CUST_0093,CRITICAL,CRITICAL,2025-09-23
CUST_0094,LOW,LOW,2025-02-05
CUST_0095,LOW,LOW,2024-01-22
CUST_0096,LOW,LOW,2024-08-31
CUST_0097,MEDIUM,MEDIUM,2025-10-11
CUST_0098,MEDIUM,MEDIUM,2024-09-13
CUST_0099,LOW,LOW,2024-09-13
CUST_0100,LOW,LOW,2024-04-21
CUST_0101,HIGH,HIGH,2024-02-25
CUST_0102,LOW,LOW,2026-01-30
CUST_0103,LOW,LOW,2025-08-23
CUST_0104,HIGH,HIGH,2024-12-29
CUST_0105,HIGH,HIGH,2024-03-15
CUST_0106,LOW,LOW,2025-11-04
CUST_0107,LOW,LOW,2025-05-02
CUST_0108,CRITICAL,CRITICAL,2025-01-28
CUST_0109,LOW,LOW,2025-03-11
CUST_0110,HIGH,MEDIUM,2025-05-07
CUST_0111,MEDIUM,MEDIUM,2025-02-16
CUST_0112,LOW,LOW,2026-01-08
CUST_0113,MEDIUM,MEDIUM,2025-08-15
CUST_0114,HIGH,MEDIUM,2025-11-10
CUST_0115,LOW,LOW,2024-11-19
CUST_0116,MEDIUM,MEDIUM,2025-07-09
CUST_0117,LOW,LOW,2024-07-26
CUST_0118,HIGH,HIGH,2024-01-08
CUST_0119,LOW,LOW,2024-05-25
CUST_0120,MEDIUM,MEDIUM,2025-01-21
CUST_0121,HIGH,HIGH,2025-02-19
CUST_0122,MEDIUM,MEDIUM,2024-04-20
CUST_0123,LOW,LOW,2024-12-19
CUST_0124,LOW,LOW,2025-12-27
CUST_0125,HIGH,HIGH,2024-08-28
CUST_0126,LOW,LOW,2025-02-13
CUST_0127,HIGH,HIGH,2024-04-15
CUST_0128,LOW,LOW,2024-05-12
CUST_0129,LOW,LOW,2025-03-02
CUST_0130,MEDIUM,MEDIUM,2024-11-15
CUST_0131,LOW,LOW,2024-06-16
CUST_0132,LOW,LOW,2024-01-24
CUST_0133,MEDIUM,LOW,2025-03-21
CUST_0134,LOW,LOW,2024-05-22
CUST_0135,HIGH,LOW,2026-02-25
CUST_0136,LOW,LOW,2025-08-17
CUST_0137,LOW,LOW,2025-06-26
CUST_0138,HIGH,HIGH,2024-08-21
CUST_0139,LOW,LOW,2025-04-16
CUST_0140,MEDIUM,MEDIUM,2024-07-12
CUST_0141,MEDIUM,MEDIUM,2025-07-03
CUST_0142,LOW,LOW,2024-08-03
CUST_0143,HIGH,HIGH,2025-06-19
CUST_0144,MEDIUM,LOW,2026-03-12
CUST_0145,LOW,LOW,2024-08-20
CUST_0146,HIGH,HIGH,2026-01-12
CUST_0147,LOW,LOW,2026-03-18
CUST_0148,MEDIUM,LOW,2026-04-14
CUST_0149,MEDIUM,MEDIUM,2025-02-04
CUST_0150,LOW,LOW,2025-08-16
CUST_0151,HIGH,HIGH,2025-10-30
CUST_0152,LOW,LOW,2025-01-22
CUST_0153,LOW,LOW,2025-07-22
CUST_0154,LOW,LOW,2025-03-07
CUST_0155,LOW,LOW,2024-07-29
CUST_0156,LOW,LOW,2025-09-29
CUST_0157,MEDIUM,MEDIUM,2024-12-30
CUST_0158,HIGH,HIGH,2025-02-18
CUST_0159,LOW,LOW,2026-03-04
CUST_0160,MEDIUM,MEDIUM,2025-11-06
CUST_0161,LOW,LOW,2025-05-23
CUST_0162,MEDIUM,MEDIUM,2025-08-30
CUST_0163,MEDIUM,LOW,2024-10-23
CUST_0164,LOW,LOW,2024-08-09
CUST_0165,MEDIUM,MEDIUM,2025-03-04
CUST_0166,HIGH,HIGH,2025-03-21
CUST_0167,LOW,LOW,2024-01-18
CUST_0168,LOW,LOW,2026-03-31
CUST_0169,MEDIUM,MEDIUM,2024-11-10
CUST_0170,LOW,LOW,2024-03-03
CUST_0171,MEDIUM,MEDIUM,2025-07-05
CUST_0172,LOW,LOW,2025-09-28
CUST_0173,HIGH,HIGH,2024-11-12
CUST_0174,LOW,LOW,2024-10-25
CUST_0175,LOW,LOW,2025-04-17
CUST_0176,LOW,LOW,2025-06-20
CUST_0177,MEDIUM,MEDIUM,2025-12-02
CUST_0178,MEDIUM,MEDIUM,2025-02-17
CUST_0179,LOW,LOW,2025-02-28
CUST_0180,LOW,LOW,2026-02-05
CUST_0181,LOW,LOW,2025-12-17
CUST_0182,MEDIUM,LOW,2025-03-14
CUST_0183,MEDIUM,MEDIUM,2024-01-20
CUST_0184,LOW,LOW,2024-07-15
CUST_0185,LOW,LOW,2024-07-29
CUST_0186,MEDIUM,MEDIUM,2026-01-26
CUST_0187,LOW,LOW,2024-08-02
CUST_0188,MEDIUM,MEDIUM,2024-03-13
CUST_0189,LOW,LOW,2024-01-27
CUST_0190,LOW,LOW,2024-11-02
CUST_0191,LOW,LOW,2024-11-25
CUST_0192,MEDIUM,MEDIUM,2024-08-28
CUST_0193,MEDIUM,LOW,2025-06-03
CUST_0194,HIGH,LOW,2025-08-24
CUST_0195,LOW,LOW,2024-02-26
CUST_0196,LOW,LOW,2024-10-22
CUST_0197,LOW,LOW,2025-08-13
CUST_0198,HIGH,HIGH,2025-08-15
CUST_0199,MEDIUM,MEDIUM,2024-09-15
CUST_0200,HIGH,LOW,2024-08-23
CUST_0201,LOW,LOW,2024-03-10
CUST_0202,LOW,LOW,2024-01-23
CUST_0203,MEDIUM,MEDIUM,2026-03-05
CUST_0204,LOW,LOW,2024-02-14
CUST_0205,MEDIUM,MEDIUM,2024-07-09
CUST_0206,LOW,LOW,2026-05-12
CUST_0207,LOW,LOW,2025-11-07
CUST_0208,MEDIUM,MEDIUM,2025-10-29
CUST_0209,LOW,LOW,2025-03-18
CUST_0210,LOW,LOW,2025-04-19
CUST_0211,HIGH,HIGH,2025-06-28
CUST_0212,LOW,LOW,2025-03-05
CUST_0213,MEDIUM,MEDIUM,2025-04-26
CUST_0214,LOW,LOW,2025-05-08
CUST_0215,HIGH,HIGH,2024-11-08
CUST_0216,MEDIUM,LOW,2025-05-21
CUST_0217,LOW,LOW,2024-02-21
CUST_0218,MEDIUM,MEDIUM,2025-09-16
CUST_0219,MEDIUM,MEDIUM,2026-01-14
CUST_0220,LOW,LOW,2026-04-14
CUST_0221,LOW,LOW,2025-10-30
CUST_0222,LOW,LOW,2025-03-14
CUST_0223,MEDIUM,LOW,2024-05-13
CUST_0224,LOW,LOW,2025-12-05
CUST_0225,HIGH,HIGH,2025-05-19
CUST_0226,LOW,LOW,2024-11-11
CUST_0227,MEDIUM,MEDIUM,2024-04-17
CUST_0228,LOW,LOW,2024-12-02
CUST_0229,LOW,LOW,2025-01-05
CUST_0230,MEDIUM,MEDIUM,2024-08-20
CUST_0231,MEDIUM,MEDIUM,2025-12-31
CUST_0232,LOW,LOW,2026-02-09
CUST_0233,LOW,LOW,2024-04-18
CUST_0234,MEDIUM,MEDIUM,2024-01-17
CUST_0235,MEDIUM,MEDIUM,2024-09-13
CUST_0236,CRITICAL,CRITICAL,2026-03-16
CUST_0237,LOW,LOW,2024-02-17
CUST_0238,MEDIUM,MEDIUM,2024-07-27
CUST_0239,MEDIUM,MEDIUM,2024-12-18
CUST_0240,MEDIUM,MEDIUM,2024-11-07
CUST_0241,LOW,LOW,2025-12-23
CUST_0242,LOW,LOW,2024-02-19
CUST_0243,HIGH,HIGH,2024-04-17
CUST_0244,MEDIUM,MEDIUM,2025-10-15
CUST_0245,LOW,LOW,2024-06-14
CUST_0246,MEDIUM,MEDIUM,2024-06-27
CUST_0247,MEDIUM,MEDIUM,2024-09-22
CUST_0248,HIGH,HIGH,2024-04-07
CUST_0249,LOW,LOW,2024-12-24
CUST_0250,LOW,LOW,2024-01-21
