customer_id,customer_type,country,customer_status,onboarding_date,region
CUST_0031,INDIVIDUAL,UAE,INACTIVE,2023-02-25,Middle East
CUST_0032,INDIVIDUAL,Panama,ACTIVE,2021-10-27,Central America
CUST_0033,INDIVIDUAL,Switzerland,ACTIVE,2025-05-06,Europe
CUST_0034,LEGAL_ENTITY,Morocco,INACTIVE,2025-07-27,Africa
CUST_0035,LEGAL_ENTITY,UAE,ACTIVE,2025-04-20,Middle East
CUST_0036,LEGAL_ENTITY,Peru,ACTIVE,2025-03-09,South America
CUST_0037,INDIVIDUAL,Peru,ACTIVE,2022-02-26,South America
CUST_0038,INDIVIDUAL,Spain,ACTIVE,2023-01-14,Europe
CUST_0039,INDIVIDUAL,Panama,ACTIVE,2024-08-09,Central America
CUST_0040,INDIVIDUAL,Colombia,ACTIVE,2021-11-30,South America
CUST_0041,INDIVIDUAL,Morocco,INACTIVE,2024-10-23,Africa
CUST_0042,INDIVIDUAL,Mexico,ACTIVE,2022-08-08,North America
CUST_0043,INDIVIDUAL,Mexico,ACTIVE,2022-07-15,North America
CUST_0044,LEGAL_ENTITY,Morocco,INACTIVE,2023-09-14,Africa
CUST_0045,INDIVIDUAL,Turkey,INACTIVE,2021-11-05,EMEA
CUST_0046,INDIVIDUAL,Colombia,ACTIVE,2022-06-16,South America
CUST_0047,INDIVIDUAL,UAE,ACTIVE,2023-10-29,Middle East
CUST_0048,INDIVIDUAL,Switzerland,ACTIVE,2022-10-14,Europe
CUST_0049,INDIVIDUAL,Turkey,ACTIVE,2025-06-23,EMEA
CUST_0050,INDIVIDUAL,Switzerland,ACTIVE,2024-01-12,Europe
CUST_0051,LEGAL_ENTITY,Switzerland,ACTIVE,2022-08-13,Europe
CUST_0052,LEGAL_ENTITY,Turkey,ACTIVE,2024-03-25,EMEA
CUST_0053,LEGAL_ENTITY,Spain,ACTIVE,2022-12-17,Europe
CUST_0054,LEGAL_ENTITY,Peru,INACTIVE,2026-03-15,South America
CUST_0055,INDIVIDUAL,Switzerland,INACTIVE,2023-11-20,Europe
CUST_0056,LEGAL_ENTITY,Turkey,ACTIVE,2022-05-17,EMEA
CUST_0057,INDIVIDUAL,Turkey,ACTIVE,2026-01-01,EMEA
CUST_0058,INDIVIDUAL,Argentina,ACTIVE,2022-04-16,South America
CUST_0059,INDIVIDUAL,Spain,ACTIVE,2024-08-23,Europe
CUST_0060,INDIVIDUAL,Panama,ACTIVE,2025-11-08,Central America
CUST_0061,INDIVIDUAL,Argentina,ACTIVE,2024-07-27,South America
CUST_0062,INDIVIDUAL,Argentina,INACTIVE,2023-04-19,South America
CUST_0063,LEGAL_ENTITY,Morocco,ACTIVE,2025-12-21,Africa
CUST_0064,INDIVIDUAL,Peru,INACTIVE,2025-02-11,South America
CUST_0065,INDIVIDUAL,Turkey,ACTIVE,2025-05-28,EMEA
CUST_0066,INDIVIDUAL,Peru,ACTIVE,2022-08-09,South America
CUST_0067,INDIVIDUAL,Colombia,ACTIVE,2024-07-12,South America
CUST_0068,LEGAL_ENTITY,Morocco,INACTIVE,2021-12-21,Africa
CUST_0069,INDIVIDUAL,Panama,ACTIVE,2024-01-10,Central America
CUST_0070,LEGAL_ENTITY,Peru,ACTIVE,2021-09-01,South America
CUST_0071,LEGAL_ENTITY,Mexico,ACTIVE,2025-01-22,North America
CUST_0072,INDIVIDUAL,Switzerland,ACTIVE,2023-05-08,Europe
CUST_0073,INDIVIDUAL,Colombia,ACTIVE,2024-08-22,South America
CUST_0074,LEGAL_ENTITY,Spain,INACTIVE,2025-10-28,Europe
CUST_0075,INDIVIDUAL,Panama,ACTIVE,2023-07-01,Central America
CUST_0076,LEGAL_ENTITY,Colombia,ACTIVE,2024-05-24,South America
CUST_0077,LEGAL_ENTITY,Switzerland,ACTIVE,2025-10-26,Europe
CUST_0078,INDIVIDUAL,Morocco,INACTIVE,2022-10-18,Africa
CUST_0079,INDIVIDUAL,Switzerland,ACTIVE,2023-06-17,Europe
CUST_0080,INDIVIDUAL,Argentina,ACTIVE,2024-11-02,South America
CUST_0081,LEGAL_ENTITY,Switzerland,ACTIVE,2023-12-20,Europe
CUST_0082,INDIVIDUAL,Argentina,ACTIVE,2021-09-22,South America
CUST_0083,INDIVIDUAL,Morocco,ACTIVE,2025-12-06,Africa
CUST_0084,INDIVIDUAL,UAE,ACTIVE,2023-04-22,Middle East
CUST_0085,INDIVIDUAL,Argentina,ACTIVE,2025-09-03,South America
CUST_0086,INDIVIDUAL,Spain,ACTIVE,2021-08-23,Europe
CUST_0087,LEGAL_ENTITY,Switzerland,INACTIVE,2024-08-18,Europe
CUST_0088,INDIVIDUAL,Switzerland,INACTIVE,2025-02-22,Europe
CUST_0089,LEGAL_ENTITY,Spain,ACTIVE,2022-12-03,Europe
CUST_0090,INDIVIDUAL,Mexico,ACTIVE,2024-09-12,North America
CUST_0091,INDIVIDUAL,Turkey,INACTIVE,2022-03-09,EMEA
CUST_0092,INDIVIDUAL,UAE,ACTIVE,2022-01-16,Middle East
CUST_0093,LEGAL_ENTITY,Panama,ACTIVE,2023-05-16,Central America
CUST_0094,INDIVIDUAL,Argentina,ACTIVE,2021-09-15,South America
CUST_0095,LEGAL_ENTITY,Spain,ACTIVE,2021-07-31,Europe
CUST_0096,INDIVIDUAL,Morocco,INACTIVE,2022-08-15,Africa
CUST_0097,INDIVIDUAL,Argentina,ACTIVE,2024-11-27,South America
CUST_0098,INDIVIDUAL,Turkey,ACTIVE,2022-10-12,EMEA
CUST_0099,INDIVIDUAL,Morocco,ACTIVE,2023-09-09,Africa
CUST_0100,INDIVIDUAL,Colombia,ACTIVE,2025-01-24,South America
CUST_0101,INDIVIDUAL,Switzerland,ACTIVE,2025-10-14,Europe
CUST_0102,INDIVIDUAL,Colombia,ACTIVE,2024-09-16,South America
CUST_0103,INDIVIDUAL,Argentina,ACTIVE,2022-03-16,South America
CUST_0104,INDIVIDUAL,Turkey,ACTIVE,2023-02-23,EMEA
CUST_0105,LEGAL_ENTITY,UAE,ACTIVE,2023-06-03,Middle East
CUST_0106,INDIVIDUAL,Argentina,ACTIVE,2023-06-27,South America
CUST_0107,INDIVIDUAL,Spain,ACTIVE,2022-04-15,Europe
CUST_0108,LEGAL_ENTITY,Peru,ACTIVE,2023-08-12,South America
CUST_0109,INDIVIDUAL,Argentina,ACTIVE,2025-06-04,South America
CUST_0110,INDIVIDUAL,Switzerland,ACTIVE,2022-09-19,Europe
CUST_0111,INDIVIDUAL,Switzerland,ACTIVE,2025-09-05,Europe
CUST_0112,INDIVIDUAL,Argentina,ACTIVE,2024-07-30,South America
CUST_0113,LEGAL_ENTITY,Morocco,ACTIVE,2021-12-25,Africa
CUST_0114,LEGAL_ENTITY,Peru,ACTIVE,2024-10-19,South America
CUST_0115,INDIVIDUAL,Spain,ACTIVE,2021-09-03,Europe
CUST_0116,LEGAL_ENTITY,Argentina,ACTIVE,2023-11-06,South America
CUST_0117,LEGAL_ENTITY,Morocco,ACTIVE,2023-02-02,Africa
CUST_0118,INDIVIDUAL,Switzerland,ACTIVE,2024-01-04,Europe
CUST_0119,LEGAL_ENTITY,Switzerland,ACTIVE,2022-12-23,Europe
CUST_0120,INDIVIDUAL,Turkey,ACTIVE,2023-12-26,EMEA
CUST_0121,LEGAL_ENTITY,Argentina,ACTIVE,2025-08-04,South America
CUST_0122,LEGAL_ENTITY,Peru,ACTIVE,2025-08-16,South America
CUST_0123,INDIVIDUAL,Mexico,ACTIVE,2023-08-15,North America
CUST_0124,INDIVIDUAL,Peru,INACTIVE,2026-03-05,South America
CUST_0125,INDIVIDUAL,Switzerland,ACTIVE,2022-12-25,Europe
CUST_0126,INDIVIDUAL,Switzerland,ACTIVE,2021-08-21,Europe
CUST_0127,LEGAL_ENTITY,Colombia,ACTIVE,2022-09-12,South America
CUST_0128,LEGAL_ENTITY,Switzerland,ACTIVE,2022-12-25,Europe
CUST_0129,INDIVIDUAL,Spain,ACTIVE,2026-02-01,Europe
CUST_0130,INDIVIDUAL,Panama,ACTIVE,2025-04-30,Central America
CUST_0131,INDIVIDUAL,Argentina,INACTIVE,2023-11-27,South America
CUST_0132,INDIVIDUAL,Peru,ACTIVE,2021-07-15,South America
CUST_0133,INDIVIDUAL,Panama,INACTIVE,2025-11-10,Central America
CUST_0134,INDIVIDUAL,Morocco,ACTIVE,2022-04-15,Africa
CUST_0135,LEGAL_ENTITY,Mexico,ACTIVE,2025-12-15,North America
CUST_0136,INDIVIDUAL,Spain,ACTIVE,2024-07-01,Europe
CUST_0137,INDIVIDUAL,Peru,INACTIVE,2024-02-24,South America
CUST_0138,INDIVIDUAL,Panama,ACTIVE,2022-08-12,Central America
CUST_0139,INDIVIDUAL,Mexico,ACTIVE,2024-01-16,North America
CUST_0140,LEGAL_ENTITY,Colombia,ACTIVE,2022-08-21,South America
CUST_0141,LEGAL_ENTITY,Spain,ACTIVE,2026-01-10,Europe
CUST_0142,INDIVIDUAL,Spain,ACTIVE,2021-08-09,Europe
CUST_0143,INDIVIDUAL,Colombia,ACTIVE,2026-03-09,South America
CUST_0144,INDIVIDUAL,Argentina,ACTIVE,2022-09-19,South America
CUST_0145,INDIVIDUAL,Colombia,ACTIVE,2023-10-30,South America
CUST_0146,INDIVIDUAL,Spain,ACTIVE,2024-09-16,Europe
CUST_0147,INDIVIDUAL,Spain,ACTIVE,2023-01-17,Europe
CUST_0148,INDIVIDUAL,Panama,ACTIVE,2024-04-07,Central America
CUST_0149,INDIVIDUAL,Switzerland,ACTIVE,2026-02-25,Europe
CUST_0150,INDIVIDUAL,Mexico,INACTIVE,2023-12-26,North America
CUST_0151,LEGAL_ENTITY,Colombia,ACTIVE,2025-04-08,South America
CUST_0152,INDIVIDUAL,Mexico,ACTIVE,2025-05-22,North America
CUST_0153,INDIVIDUAL,Colombia,ACTIVE,2025-03-22,South America
CUST_0154,INDIVIDUAL,Morocco,ACTIVE,2025-02-17,Africa
CUST_0155,LEGAL_ENTITY,Spain,ACTIVE,2025-08-14,Europe
CUST_0156,INDIVIDUAL,Switzerland,ACTIVE,2025-10-30,Europe
CUST_0157,INDIVIDUAL,Panama,ACTIVE,2021-09-22,Central America
CUST_0158,LEGAL_ENTITY,Switzerland,ACTIVE,2023-08-05,Europe
CUST_0159,INDIVIDUAL,Switzerland,ACTIVE,2022-11-02,Europe
CUST_0160,LEGAL_ENTITY,Switzerland,ACTIVE,2023-07-09,Europe
CUST_0161,INDIVIDUAL,Mexico,ACTIVE,2023-07-01,North America
CUST_0162,INDIVIDUAL,Colombia,ACTIVE,2021-09-15,South America
CUST_0163,INDIVIDUAL,UAE,ACTIVE,2021-09-22,Middle East
CUST_0164,INDIVIDUAL,Morocco,ACTIVE,2023-12-13,Africa
CUST_0165,INDIVIDUAL,Peru,ACTIVE,2024-05-06,South America
CUST_0166,LEGAL_ENTITY,Switzerland,ACTIVE,2022-02-25,Europe
CUST_0167,INDIVIDUAL,Argentina,ACTIVE,2023-06-20,South America
CUST_0168,INDIVIDUAL,Mexico,ACTIVE,2025-03-29,North America
CUST_0169,INDIVIDUAL,Panama,ACTIVE,2023-06-16,Central America
CUST_0170,INDIVIDUAL,Peru,ACTIVE,2022-07-11,South America
CUST_0171,INDIVIDUAL,UAE,INACTIVE,2023-01-18,Middle East
CUST_0172,INDIVIDUAL,Argentina,ACTIVE,2023-10-14,South America
CUST_0173,INDIVIDUAL,UAE,ACTIVE,2025-11-13,Middle East
CUST_0174,INDIVIDUAL,Peru,ACTIVE,2023-02-14,South America
CUST_0175,INDIVIDUAL,Switzerland,ACTIVE,2023-06-15,Europe
CUST_0176,INDIVIDUAL,Argentina,ACTIVE,2024-07-24,South America
CUST_0177,INDIVIDUAL,UAE,ACTIVE,2022-05-18,Middle East
CUST_0178,INDIVIDUAL,Panama,ACTIVE,2023-06-10,Central America
CUST_0179,LEGAL_ENTITY,Colombia,ACTIVE,2026-01-28,South America
CUST_0180,INDIVIDUAL,Spain,ACTIVE,2023-05-02,Europe
CUST_0181,INDIVIDUAL,Colombia,ACTIVE,2022-02-23,South America
CUST_0182,INDIVIDUAL,Peru,ACTIVE,2022-08-08,South America
CUST_0183,LEGAL_ENTITY,Mexico,ACTIVE,2022-08-07,North America
CUST_0184,LEGAL_ENTITY,Spain,ACTIVE,2024-01-31,Europe
CUST_0185,INDIVIDUAL,Morocco,ACTIVE,2022-04-19,Africa
CUST_0186,INDIVIDUAL,Panama,ACTIVE,2023-12-27,Central America
CUST_0187,LEGAL_ENTITY,Morocco,INACTIVE,2021-09-25,Africa
CUST_0188,INDIVIDUAL,Argentina,ACTIVE,2022-04-21,South America
CUST_0189,INDIVIDUAL,Spain,ACTIVE,2022-06-19,Europe
CUST_0190,INDIVIDUAL,Morocco,ACTIVE,2021-09-16,Africa
CUST_0191,INDIVIDUAL,Morocco,ACTIVE,2025-01-24,Africa
CUST_0192,LEGAL_ENTITY,UAE,ACTIVE,2022-11-30,Middle East
CUST_0193,LEGAL_ENTITY,Colombia,ACTIVE,2023-07-11,South America
CUST_0194,INDIVIDUAL,UAE,ACTIVE,2023-12-16,Middle East
CUST_0195,INDIVIDUAL,Spain,ACTIVE,2023-05-30,Europe
CUST_0196,INDIVIDUAL,Spain,ACTIVE,2024-08-30,Europe
CUST_0197,LEGAL_ENTITY,Peru,ACTIVE,2025-03-14,South America
CUST_0198,LEGAL_ENTITY,UAE,ACTIVE,2023-08-27,Middle East
CUST_0199,LEGAL_ENTITY,Turkey,ACTIVE,2024-05-28,EMEA
CUST_0200,LEGAL_ENTITY,Colombia,ACTIVE,2022-03-26,South America
CUST_0201,INDIVIDUAL,Spain,INACTIVE,2023-07-25,Europe
CUST_0202,INDIVIDUAL,Peru,ACTIVE,2022-07-26,South America
CUST_0203,INDIVIDUAL,UAE,ACTIVE,2023-01-14,Middle East
CUST_0204,LEGAL_ENTITY,Colombia,ACTIVE,2025-08-30,South America
CUST_0205,INDIVIDUAL,UAE,ACTIVE,2022-03-21,Middle East
CUST_0206,INDIVIDUAL,Morocco,ACTIVE,2025-05-11,Africa
CUST_0207,INDIVIDUAL,Peru,ACTIVE,2025-11-23,South America
CUST_0208,INDIVIDUAL,Colombia,ACTIVE,2021-08-03,South America
CUST_0209,INDIVIDUAL,Switzerland,ACTIVE,2023-08-26,Europe
CUST_0210,INDIVIDUAL,Argentina,ACTIVE,2024-08-22,South America
CUST_0211,INDIVIDUAL,Argentina,ACTIVE,2025-07-19,South America
CUST_0212,INDIVIDUAL,Colombia,ACTIVE,2024-09-29,South America
CUST_0213,INDIVIDUAL,UAE,ACTIVE,2021-10-06,Middle East
CUST_0214,INDIVIDUAL,Peru,ACTIVE,2026-01-04,South America
CUST_0215,INDIVIDUAL,Argentina,ACTIVE,2025-02-27,South America
CUST_0216,INDIVIDUAL,Peru,ACTIVE,2022-11-02,South America
CUST_0217,INDIVIDUAL,Argentina,INACTIVE,2024-11-30,South America
CUST_0218,LEGAL_ENTITY,Morocco,ACTIVE,2025-01-26,Africa
CUST_0219,INDIVIDUAL,UAE,ACTIVE,2025-04-07,Middle East
CUST_0220,LEGAL_ENTITY,Morocco,ACTIVE,2021-12-18,Africa
CUST_0221,INDIVIDUAL,Argentina,ACTIVE,2024-06-18,South America
CUST_0222,INDIVIDUAL,Switzerland,ACTIVE,2023-08-24,Europe
CUST_0223,INDIVIDUAL,Switzerland,ACTIVE,2023-08-08,Europe
CUST_0224,INDIVIDUAL,Morocco,ACTIVE,2023-10-26,Africa
CUST_0225,INDIVIDUAL,Switzerland,ACTIVE,2024-02-16,Europe
CUST_0226,INDIVIDUAL,Argentina,ACTIVE,2022-12-03,South America
CUST_0227,LEGAL_ENTITY,Colombia,INACTIVE,2022-11-30,South America
CUST_0228,INDIVIDUAL,Morocco,ACTIVE,2024-05-25,Africa
CUST_0229,LEGAL_ENTITY,Mexico,ACTIVE,2026-02-23,North America
CUST_0230,INDIVIDUAL,UAE,ACTIVE,2022-12-02,Middle East
CUST_0231,LEGAL_ENTITY,Switzerland,INACTIVE,2024-04-09,Europe
CUST_0232,INDIVIDUAL,Switzerland,ACTIVE,2022-01-15,Europe
CUST_0233,INDIVIDUAL,Spain,ACTIVE,2022-12-21,Europe
CUST_0234,INDIVIDUAL,Turkey,INACTIVE,2025-09-24,EMEA
CUST_0235,INDIVIDUAL,Morocco,ACTIVE,2025-06-08,Africa
CUST_0236,LEGAL_ENTITY,Panama,ACTIVE,2026-01-16,Central America
CUST_0237,INDIVIDUAL,Switzerland,ACTIVE,2023-06-21,Europe
CUST_0238,INDIVIDUAL,UAE,ACTIVE,2024-05-27,Middle East
CUST_0239,INDIVIDUAL,Mexico,ACTIVE,2024-05-23,North America
CUST_0240,INDIVIDUAL,Switzerland,INACTIVE,2025-10-15,Europe
CUST_0241,LEGAL_ENTITY,Mexico,ACTIVE,2022-02-16,North America
CUST_0242,LEGAL_ENTITY,Argentina,ACTIVE,2023-04-12,South America
CUST_0243,LEGAL_ENTITY,Argentina,ACTIVE,2023-07-27,South America
CUST_0244,INDIVIDUAL,Turkey,ACTIVE,2023-11-22,EMEA
CUST_0245,INDIVIDUAL,Colombia,ACTIVE,2023-03-08,South America
CUST_0246,LEGAL_ENTITY,Panama,ACTIVE,2022-06-04,Central America
CUST_0247,INDIVIDUAL,Spain,ACTIVE,2024-04-30,Europe
CUST_0248,LEGAL_ENTITY,Turkey,ACTIVE,2025-10-23,EMEA
CUST_0249,LEGAL_ENTITY,Peru,ACTIVE,2021-09-08,South America
CUST_0250,LEGAL_ENTITY,Spain,ACTIVE,2025-04-12,Europe
