customer_id,pep_flag,high_risk_country_flag,complex_ownership_flag,adverse_media_flag,repeated_aml_issues_count
CUST_0152,NO,NO,NO,NO,1
CUST_0153,NO,NO,NO,NO,0
CUST_0154,NO,NO,NO,NO,1
CUST_0155,NO,NO,NO,NO,0
CUST_0156,NO,NO,NO,NO,1
CUST_0157,NO,YES,NO,NO,0
CUST_0158,YES,NO,YES,NO,0
CUST_0159,NO,NO,NO,NO,0
CUST_0160,NO,NO,YES,NO,1
CUST_0161,NO,NO,NO,NO,2
CUST_0162,NO,NO,NO,YES,0
CUST_0163,NO,YES,NO,NO,0
CUST_0164,NO,NO,NO,NO,1
CUST_0165,NO,NO,NO,YES,0
CUST_0166,NO,YES,NO,NO,3
CUST_0167,NO,NO,NO,NO,0
CUST_0168,NO,NO,NO,NO,0
CUST_0169,NO,YES,NO,NO,0
CUST_0170,NO,NO,NO,NO,0
CUST_0171,NO,YES,NO,NO,1
CUST_0172,NO,NO,NO,NO,0
CUST_0173,NO,YES,NO,NO,4
CUST_0174,NO,NO,NO,NO,0
CUST_0175,NO,NO,NO,NO,1
CUST_0176,NO,NO,NO,NO,0
CUST_0177,NO,YES,NO,NO,2
CUST_0178,NO,YES,NO,NO,1
CUST_0179,NO,NO,NO,NO,0
CUST_0180,NO,NO,NO,NO,0
CUST_0181,NO,NO,NO,NO,0
CUST_0182,NO,YES,NO,NO,0
CUST_0183,NO,NO,NO,NO,5
CUST_0184,NO,NO,NO,NO,1
CUST_0185,NO,NO,NO,NO,0
CUST_0186,NO,YES,NO,NO,0
CUST_0187,NO,NO,NO,NO,0
CUST_0188,NO,NO,NO,YES,0
CUST_0189,NO,NO,NO,NO,0
CUST_0190,NO,NO,NO,NO,0
CUST_0191,NO,NO,NO,NO,1
CUST_0192,NO,YES,NO,NO,0
CUST_0193,NO,NO,YES,NO,0
CUST_0194,NO,YES,NO,YES,0
CUST_0195,NO,NO,NO,NO,1
CUST_0196,NO,NO,NO,NO,0
CUST_0197,NO,NO,NO,NO,0
CUST_0198,NO,YES,YES,NO,0
CUST_0199,NO,YES,NO,NO,0
CUST_0200,NO,NO,NO,YES,3
CUST_0201,NO,NO,NO,NO,0
CUST_0202,NO,NO,NO,NO,0
CUST_0203,NO,YES,NO,NO,0
CUST_0204,NO,NO,NO,NO,2
CUST_0205,NO,YES,NO,NO,1
CUST_0206,NO,NO,NO,NO,0
CUST_0207,NO,NO,NO,NO,0
CUST_0208,NO,NO,NO,NO,3
CUST_0209,NO,NO,NO,NO,0
CUST_0210,NO,NO,NO,NO,0
CUST_0211,YES,NO,NO,NO,4
CUST_0212,NO,NO,NO,NO,0
CUST_0213,NO,YES,NO,NO,0
CUST_0214,NO,NO,NO,NO,1
CUST_0215,YES,NO,NO,NO,0
CUST_0216,NO,NO,NO,YES,1
CUST_0217,NO,NO,NO,NO,0
CUST_0218,NO,NO,NO,YES,0
CUST_0219,NO,YES,NO,NO,0
CUST_0220,NO,NO,NO,NO,0
CUST_0221,NO,NO,NO,NO,0
CUST_0222,NO,NO,NO,NO,1
CUST_0223,NO,YES,NO,NO,0
CUST_0224,NO,NO,NO,NO,0
CUST_0225,YES,NO,NO,NO,4
CUST_0226,NO,NO,NO,NO,0
CUST_0227,NO,NO,NO,YES,0
CUST_0228,NO,NO,NO,NO,0
CUST_0229,NO,NO,NO,NO,2
CUST_0230,NO,YES,NO,NO,0
CUST_0231,NO,NO,YES,NO,0
CUST_0232,NO,NO,NO,NO,1
CUST_0233,NO,NO,NO,NO,0
CUST_0234,NO,YES,NO,NO,1
CUST_0235,NO,NO,NO,YES,0
CUST_0236,NO,YES,YES,YES,0
CUST_0237,NO,NO,NO,NO,0
CUST_0238,NO,YES,NO,NO,1
CUST_0239,NO,NO,NO,YES,1
CUST_0240,NO,NO,NO,YES,0
CUST_0241,NO,NO,NO,NO,0
CUST_0242,NO,NO,NO,NO,0
CUST_0243,YES,NO,NO,NO,0
CUST_0244,NO,YES,NO,NO,0
CUST_0245,NO,NO,NO,NO,0
CUST_0246,NO,YES,NO,NO,0
CUST_0247,NO,NO,NO,NO,3
CUST_0248,NO,YES,YES,NO,2
CUST_0249,NO,NO,NO,NO,1
CUST_0250,NO,NO,NO,NO,1
