customer_id,identity_document_status,source_of_funds_status,beneficial_ownership_status,edd_file_status,kyc_document_expiry_date
CUST_0077,VALID,VALID,VALID,VALID,2027-01-21
CUST_0078,VALID,VALID,NOT_APPLICABLE,VALID,2027-05-02
CUST_0079,VALID,VALID,NOT_APPLICABLE,VALID,2028-02-17
CUST_0080,VALID,VALID,NOT_APPLICABLE,INVALID,2028-06-15
CUST_0081,VALID,INVALID,VALID,VALID,2027-05-29
CUST_0082,VALID,VALID,NOT_APPLICABLE,INVALID,2026-08-23
CUST_0083,VALID,VALID,NOT_APPLICABLE,VALID,2027-05-18
CUST_0084,VALID,INVALID,NOT_APPLICABLE,INVALID,2027-01-17
CUST_0085,VALID,VALID,NOT_APPLICABLE,VALID,2027-12-02
CUST_0086,VALID,VALID,NOT_APPLICABLE,VALID,2027-02-03
CUST_0087,VALID,INVALID,VALID,INVALID,2027-12-03
CUST_0088,VALID,VALID,NOT_APPLICABLE,INVALID,2025-06-25
CUST_0089,VALID,VALID,VALID,VALID,2026-10-12
CUST_0090,VALID,VALID,NOT_APPLICABLE,VALID,2027-08-27
CUST_0091,VALID,VALID,NOT_APPLICABLE,VALID,2025-12-30
CUST_0092,VALID,VALID,NOT_APPLICABLE,INVALID,2027-12-13
CUST_0093,VALID,INVALID,VALID,INVALID,2027-11-02
CUST_0094,VALID,VALID,NOT_APPLICABLE,INVALID,2026-08-28
CUST_0095,VALID,VALID,INVALID,INVALID,2027-05-27
CUST_0096,VALID,VALID,NOT_APPLICABLE,VALID,2027-01-25
CUST_0097,INVALID,VALID,NOT_APPLICABLE,INVALID,2027-11-11
CUST_0098,VALID,VALID,NOT_APPLICABLE,INVALID,2026-10-19
CUST_0099,VALID,INVALID,NOT_APPLICABLE,INVALID,2027-12-17
CUST_0100,VALID,VALID,NOT_APPLICABLE,VALID,2027-01-11
CUST_0101,VALID,VALID,NOT_APPLICABLE,VALID,2026-11-19
CUST_0102,VALID,VALID,NOT_APPLICABLE,VALID,2027-12-15
CUST_0103,VALID,VALID,NOT_APPLICABLE,INVALID,2027-05-30
CUST_0104,VALID,INVALID,NOT_APPLICABLE,INVALID,2026-05-01
CUST_0105,VALID,INVALID,VALID,VALID,2025-11-14
CUST_0106,VALID,INVALID,NOT_APPLICABLE,VALID,2027-06-19
CUST_0107,VALID,INVALID,NOT_APPLICABLE,VALID,2027-02-03
CUST_0108,VALID,VALID,VALID,VALID,2027-11-02
CUST_0109,VALID,VALID,NOT_APPLICABLE,INVALID,2025-09-24
CUST_0110,INVALID,VALID,NOT_APPLICABLE,VALID,2026-12-29
CUST_0111,VALID,VALID,NOT_APPLICABLE,INVALID,2025-10-30
CUST_0112,VALID,VALID,NOT_APPLICABLE,VALID,2027-11-11
CUST_0113,VALID,VALID,INVALID,VALID,2026-09-27
CUST_0114,VALID,VALID,VALID,VALID,2027-09-02
CUST_0115,VALID,VALID,NOT_APPLICABLE,VALID,2027-05-27
CUST_0116,VALID,VALID,VALID,VALID,2026-08-10
CUST_0117,VALID,VALID,INVALID,INVALID,2026-10-07
CUST_0118,INVALID,VALID,NOT_APPLICABLE,VALID,2027-04-04
CUST_0119,VALID,VALID,VALID,VALID,2025-07-11
CUST_0120,VALID,INVALID,NOT_APPLICABLE,VALID,2026-09-27
CUST_0121,VALID,VALID,VALID,INVALID,2027-02-13
CUST_0122,VALID,VALID,VALID,VALID,2028-02-11
CUST_0123,VALID,VALID,NOT_APPLICABLE,INVALID,2027-02-04
CUST_0124,VALID,VALID,NOT_APPLICABLE,INVALID,2027-06-19
CUST_0125,INVALID,VALID,NOT_APPLICABLE,VALID,2026-12-27
CUST_0126,VALID,VALID,NOT_APPLICABLE,VALID,2028-03-10
CUST_0127,VALID,VALID,INVALID,INVALID,2027-05-07
CUST_0128,VALID,VALID,VALID,INVALID,2027-10-04
CUST_0129,VALID,INVALID,NOT_APPLICABLE,VALID,2028-04-02
CUST_0130,VALID,VALID,NOT_APPLICABLE,VALID,2028-05-08
CUST_0131,VALID,VALID,NOT_APPLICABLE,INVALID,2026-11-28
CUST_0132,VALID,VALID,NOT_APPLICABLE,INVALID,2025-08-10
CUST_0133,VALID,VALID,NOT_APPLICABLE,VALID,2027-06-22
CUST_0134,VALID,VALID,NOT_APPLICABLE,INVALID,2027-10-14
CUST_0135,VALID,VALID,VALID,INVALID,2026-01-28
CUST_0136,VALID,VALID,NOT_APPLICABLE,INVALID,2027-05-31
CUST_0137,VALID,VALID,NOT_APPLICABLE,VALID,2028-02-03
CUST_0138,VALID,INVALID,NOT_APPLICABLE,VALID,2026-10-21
CUST_0139,VALID,VALID,NOT_APPLICABLE,INVALID,2026-08-24
CUST_0140,VALID,VALID,INVALID,VALID,2027-09-03
CUST_0141,VALID,VALID,VALID,VALID,2026-05-02
CUST_0142,VALID,VALID,NOT_APPLICABLE,INVALID,2028-03-04
CUST_0143,VALID,VALID,NOT_APPLICABLE,INVALID,2025-09-01
CUST_0144,VALID,VALID,NOT_APPLICABLE,VALID,2028-04-10
CUST_0145,VALID,VALID,NOT_APPLICABLE,VALID,2028-01-07
CUST_0146,VALID,INVALID,NOT_APPLICABLE,VALID,2026-11-11
CUST_0147,VALID,VALID,NOT_APPLICABLE,INVALID,2027-01-07
CUST_0148,VALID,VALID,NOT_APPLICABLE,INVALID,2027-10-08
CUST_0149,VALID,VALID,NOT_APPLICABLE,INVALID,2026-10-17
CUST_0150,VALID,VALID,NOT_APPLICABLE,VALID,2025-08-26
CUST_0151,VALID,INVALID,VALID,INVALID,2026-07-23
CUST_0152,VALID,VALID,NOT_APPLICABLE,INVALID,2027-01-03
CUST_0153,VALID,VALID,NOT_APPLICABLE,INVALID,2027-09-05
CUST_0154,VALID,VALID,NOT_APPLICABLE,INVALID,2026-10-17
CUST_0155,VALID,VALID,VALID,INVALID,2027-09-02
CUST_0156,VALID,VALID,NOT_APPLICABLE,VALID,2028-06-08
CUST_0157,VALID,INVALID,NOT_APPLICABLE,VALID,2027-01-26
CUST_0158,VALID,VALID,VALID,VALID,2026-11-09
CUST_0159,VALID,INVALID,NOT_APPLICABLE,VALID,2027-06-16
CUST_0160,VALID,VALID,VALID,VALID,2025-11-23
CUST_0161,VALID,INVALID,NOT_APPLICABLE,VALID,2026-11-15
CUST_0162,VALID,VALID,NOT_APPLICABLE,INVALID,2027-03-29
CUST_0163,VALID,VALID,NOT_APPLICABLE,INVALID,2026-09-02
CUST_0164,VALID,VALID,NOT_APPLICABLE,INVALID,2027-09-18
CUST_0165,VALID,VALID,NOT_APPLICABLE,VALID,2025-11-18
CUST_0166,VALID,INVALID,VALID,VALID,2027-10-01
CUST_0167,VALID,VALID,NOT_APPLICABLE,VALID,2027-11-18
CUST_0168,VALID,VALID,NOT_APPLICABLE,INVALID,2027-04-11
CUST_0169,VALID,VALID,NOT_APPLICABLE,INVALID,2027-03-10
CUST_0170,VALID,VALID,NOT_APPLICABLE,VALID,2027-02-08
CUST_0171,INVALID,VALID,NOT_APPLICABLE,VALID,2028-05-04
CUST_0172,VALID,VALID,NOT_APPLICABLE,VALID,2027-01-27
CUST_0173,VALID,VALID,NOT_APPLICABLE,VALID,2026-12-19
CUST_0174,VALID,VALID,NOT_APPLICABLE,INVALID,2028-02-22
CUST_0175,VALID,VALID,NOT_APPLICABLE,VALID,2027-06-21
CUST_0176,VALID,VALID,NOT_APPLICABLE,INVALID,2028-05-23
CUST_0177,VALID,INVALID,NOT_APPLICABLE,INVALID,2027-12-15
CUST_0178,VALID,VALID,NOT_APPLICABLE,INVALID,2027-07-17
CUST_0179,VALID,VALID,INVALID,INVALID,2027-03-31
CUST_0180,INVALID,VALID,NOT_APPLICABLE,INVALID,2026-08-12
CUST_0181,VALID,VALID,NOT_APPLICABLE,INVALID,2027-10-17
CUST_0182,VALID,VALID,NOT_APPLICABLE,INVALID,2027-10-18
CUST_0183,VALID,VALID,VALID,INVALID,2028-03-05
CUST_0184,VALID,VALID,VALID,INVALID,2025-11-22
CUST_0185,VALID,VALID,NOT_APPLICABLE,INVALID,2026-11-18
CUST_0186,VALID,VALID,NOT_APPLICABLE,INVALID,2028-05-29
CUST_0187,VALID,VALID,VALID,INVALID,2028-04-27
CUST_0188,VALID,VALID,NOT_APPLICABLE,INVALID,2028-01-30
CUST_0189,VALID,VALID,NOT_APPLICABLE,INVALID,2028-05-24
CUST_0190,VALID,VALID,NOT_APPLICABLE,INVALID,2028-02-03
CUST_0191,VALID,VALID,NOT_APPLICABLE,INVALID,2027-06-24
CUST_0192,VALID,VALID,VALID,VALID,2026-04-14
CUST_0193,VALID,VALID,VALID,INVALID,2026-10-17
CUST_0194,VALID,VALID,NOT_APPLICABLE,INVALID,2026-04-19
CUST_0195,VALID,INVALID,NOT_APPLICABLE,INVALID,2028-04-19
CUST_0196,VALID,VALID,NOT_APPLICABLE,VALID,2027-09-27
CUST_0197,VALID,INVALID,VALID,INVALID,2025-08-25
CUST_0198,VALID,INVALID,VALID,VALID,2027-12-17
CUST_0199,VALID,INVALID,VALID,VALID,2027-03-29
CUST_0200,VALID,INVALID,INVALID,INVALID,2028-04-07
CUST_0201,VALID,VALID,NOT_APPLICABLE,INVALID,2025-10-29
CUST_0202,VALID,VALID,NOT_APPLICABLE,VALID,2027-11-22
CUST_0203,VALID,INVALID,NOT_APPLICABLE,VALID,2027-04-18
CUST_0204,VALID,VALID,VALID,VALID,2028-04-14
CUST_0205,VALID,VALID,NOT_APPLICABLE,VALID,2026-02-27
CUST_0206,VALID,VALID,NOT_APPLICABLE,VALID,2028-01-07
CUST_0207,VALID,VALID,NOT_APPLICABLE,VALID,2026-10-10
CUST_0208,VALID,VALID,NOT_APPLICABLE,VALID,2027-07-27
CUST_0209,VALID,VALID,NOT_APPLICABLE,INVALID,2026-10-20
CUST_0210,VALID,VALID,NOT_APPLICABLE,INVALID,2027-07-06
CUST_0211,VALID,VALID,NOT_APPLICABLE,VALID,2027-11-18
CUST_0212,VALID,VALID,NOT_APPLICABLE,INVALID,2026-10-13
CUST_0213,VALID,VALID,NOT_APPLICABLE,INVALID,2027-04-13
CUST_0214,VALID,VALID,NOT_APPLICABLE,INVALID,2026-08-25
CUST_0215,VALID,VALID,NOT_APPLICABLE,VALID,2027-10-06
CUST_0216,VALID,VALID,NOT_APPLICABLE,INVALID,2026-04-30
CUST_0217,VALID,INVALID,NOT_APPLICABLE,VALID,2027-11-16
CUST_0218,VALID,VALID,VALID,INVALID,2027-04-12
CUST_0219,VALID,VALID,NOT_APPLICABLE,INVALID,2028-05-18
CUST_0220,VALID,VALID,VALID,VALID,2028-04-19
CUST_0221,VALID,VALID,NOT_APPLICABLE,VALID,2027-03-20
CUST_0222,VALID,VALID,NOT_APPLICABLE,INVALID,2027-08-07
CUST_0223,VALID,VALID,NOT_APPLICABLE,VALID,2027-05-20
CUST_0224,VALID,VALID,NOT_APPLICABLE,INVALID,2027-11-15
CUST_0225,VALID,VALID,NOT_APPLICABLE,VALID,2027-04-18
CUST_0226,VALID,VALID,NOT_APPLICABLE,INVALID,2027-04-15
CUST_0227,VALID,INVALID,INVALID,VALID,2027-05-27
CUST_0228,VALID,VALID,NOT_APPLICABLE,INVALID,2027-11-01
CUST_0229,VALID,VALID,VALID,INVALID,2026-07-29
CUST_0230,VALID,VALID,NOT_APPLICABLE,VALID,2026-03-15
CUST_0231,VALID,VALID,VALID,VALID,2027-07-15
CUST_0232,VALID,INVALID,NOT_APPLICABLE,INVALID,2027-05-20
CUST_0233,VALID,VALID,NOT_APPLICABLE,INVALID,2027-04-07
CUST_0234,VALID,VALID,NOT_APPLICABLE,INVALID,2026-09-26
CUST_0235,VALID,VALID,NOT_APPLICABLE,VALID,2026-12-02
CUST_0236,INVALID,VALID,VALID,VALID,2027-09-13
CUST_0237,VALID,VALID,NOT_APPLICABLE,VALID,2025-12-07
CUST_0238,INVALID,VALID,NOT_APPLICABLE,INVALID,2026-12-12
CUST_0239,VALID,VALID,NOT_APPLICABLE,VALID,2027-04-15
CUST_0240,VALID,VALID,NOT_APPLICABLE,VALID,2027-05-05
CUST_0241,VALID,VALID,VALID,VALID,2027-05-20
CUST_0242,VALID,VALID,VALID,INVALID,2027-03-25
CUST_0243,INVALID,VALID,VALID,VALID,2028-03-16
CUST_0244,VALID,VALID,NOT_APPLICABLE,INVALID,2027-11-20
CUST_0245,VALID,VALID,NOT_APPLICABLE,INVALID,2027-07-26
CUST_0246,VALID,VALID,VALID,INVALID,2026-09-27
CUST_0247,VALID,INVALID,NOT_APPLICABLE,INVALID,2026-07-21
CUST_0248,VALID,VALID,VALID,INVALID,2028-01-23
CUST_0249,VALID,VALID,INVALID,INVALID,2026-10-11
CUST_0250,VALID,VALID,VALID,VALID,2026-12-12
